Run,PacketsSent,PacketsReceived,PDR,Delay,Throughput
1,8496,5036,59.275,0.056019,744.908
2,8496,5884,69.2561,0.0942424,870.342
3,8496,5627,66.2312,0.0375998,832.327
4,39285,7674,19.5342,0.000400105,3153.53
5,47825,7674,16.046,0.000363632,3153.53
6,55816,7674,13.7487,0.000354872,3153.53
7,31846,8610,27.0364,0.000235352,3632.34
8,42466,11481,27.0357,0.000226196,4843.55
9,53086,14352,27.0354,0.000236226,6054.75
10,63707,17221,27.0316,0.000374966,7265.11
11,74326,20093,27.0336,0.000351774,8476.73
12,84946,22173,26.1025,0.0731789,9354.23
